name,ncbi,wiki,protein,enzyme
tmk,https://www.ncbi.nlm.nih.gov/gene?term=945663,http://ecoliwiki.net/colipedia/index.php/b1098,https://www.ncbi.nlm.nih.gov/protein/NP_415616.1,https://enzyme.expasy.org/EC/2.7.4.9
murE,https://www.ncbi.nlm.nih.gov/gene?term=944791,http://ecoliwiki.net/colipedia/index.php/b0085,https://www.ncbi.nlm.nih.gov/protein/NP_414627.1,https://enzyme.expasy.org/EC/6.3.2.13
secD,https://www.ncbi.nlm.nih.gov/gene?term=949133,http://ecoliwiki.net/colipedia/index.php/b0408,https://www.ncbi.nlm.nih.gov/protein/NP_414942.1,
glnS,https://www.ncbi.nlm.nih.gov/gene?term=945310,http://ecoliwiki.net/colipedia/index.php/b0680,https://www.ncbi.nlm.nih.gov/protein/NP_415206.1,https://enzyme.expasy.org/EC/6.1.1.18
ribE,https://www.ncbi.nlm.nih.gov/gene?term=946453,http://ecoliwiki.net/colipedia/index.php/b0415,https://www.ncbi.nlm.nih.gov/protein/NP_414949.1,https://enzyme.expasy.org/EC/2.5.1.9
holA,https://www.ncbi.nlm.nih.gov/gene?term=947573,http://ecoliwiki.net/colipedia/index.php/b0640,https://www.ncbi.nlm.nih.gov/protein/NP_415173.1,https://enzyme.expasy.org/EC/2.7.7.7
rne,https://www.ncbi.nlm.nih.gov/gene?term=945641,http://ecoliwiki.net/colipedia/index.php/b1084,https://www.ncbi.nlm.nih.gov/protein/NP_415602.1,https://enzyme.expasy.org/EC/3.1.4.-
msbA,https://www.ncbi.nlm.nih.gov/gene?term=945530,http://ecoliwiki.net/colipedia/index.php/b0914,https://www.ncbi.nlm.nih.gov/protein/NP_415434.1,
dxr,https://www.ncbi.nlm.nih.gov/gene?term=945019,http://ecoliwiki.net/colipedia/index.php/b0173,https://www.ncbi.nlm.nih.gov/protein/NP_414715.1,https://enzyme.expasy.org/EC/1.1.1.267
mraY,https://www.ncbi.nlm.nih.gov/gene?term=944814,http://ecoliwiki.net/colipedia/index.php/b0087,https://www.ncbi.nlm.nih.gov/protein/NP_414629.1,https://enzyme.expasy.org/EC/2.7.8.13
coaE,https://www.ncbi.nlm.nih.gov/gene?term=949060,http://ecoliwiki.net/colipedia/index.php/b0103,https://www.ncbi.nlm.nih.gov/protein/NP_414645.1,https://enzyme.expasy.org/EC/2.7.1.24
hemH,https://www.ncbi.nlm.nih.gov/gene?term=947532,http://ecoliwiki.net/colipedia/index.php/b0475,https://www.ncbi.nlm.nih.gov/protein/NP_415008.1,https://enzyme.expasy.org/EC/4.99.1.1
lpxA,https://www.ncbi.nlm.nih.gov/gene?term=944849,http://ecoliwiki.net/colipedia/index.php/b0181,https://www.ncbi.nlm.nih.gov/protein/NP_414723.1,https://enzyme.expasy.org/EC/2.3.1.129
kdsB,https://www.ncbi.nlm.nih.gov/gene?term=945539,http://ecoliwiki.net/colipedia/index.php/b0918,https://www.ncbi.nlm.nih.gov/protein/NP_415438.1,https://enzyme.expasy.org/EC/2.7.7.38
fabG,https://www.ncbi.nlm.nih.gov/gene?term=945645,http://ecoliwiki.net/colipedia/index.php/b1093,https://www.ncbi.nlm.nih.gov/protein/NP_415611.1,https://enzyme.expasy.org/EC/1.1.1.100
lpxH,https://www.ncbi.nlm.nih.gov/gene?term=949053,http://ecoliwiki.net/colipedia/index.php/b0524,https://www.ncbi.nlm.nih.gov/protein/NP_415057.1,https://enzyme.expasy.org/EC/3.6.1.-
dnaE,https://www.ncbi.nlm.nih.gov/gene?term=944877,http://ecoliwiki.net/colipedia/index.php/b0184,https://www.ncbi.nlm.nih.gov/protein/NP_414726.1,https://enzyme.expasy.org/EC/2.7.7.7
ribD,https://www.ncbi.nlm.nih.gov/gene?term=945620,http://ecoliwiki.net/colipedia/index.php/b0414,https://www.ncbi.nlm.nih.gov/protein/NP_414948.1,https://enzyme.expasy.org/EC/1.1.1.1933.5.4.26
fabD,https://www.ncbi.nlm.nih.gov/gene?term=945766,http://ecoliwiki.net/colipedia/index.php/b1092,https://www.ncbi.nlm.nih.gov/protein/NP_415610.1,https://enzyme.expasy.org/EC/2.3.1.39
thiL,https://www.ncbi.nlm.nih.gov/gene?term=947387,http://ecoliwiki.net/colipedia/index.php/b0417,https://www.ncbi.nlm.nih.gov/protein/NP_414951.1,https://enzyme.expasy.org/EC/2.7.4.16
ileS,https://www.ncbi.nlm.nih.gov/gene?term=944761,http://ecoliwiki.net/colipedia/index.php/b0026,https://www.ncbi.nlm.nih.gov/protein/NP_414567.1,https://enzyme.expasy.org/EC/6.1.1.5
ftsK,https://www.ncbi.nlm.nih.gov/gene?term=945102,http://ecoliwiki.net/colipedia/index.php/b0890,https://www.ncbi.nlm.nih.gov/protein/NP_415410.1,
ftsW,https://www.ncbi.nlm.nih.gov/gene?term=946322,http://ecoliwiki.net/colipedia/index.php/b0089,https://www.ncbi.nlm.nih.gov/protein/NP_414631.1,
mrdB,https://www.ncbi.nlm.nih.gov/gene?term=945238,http://ecoliwiki.net/colipedia/index.php/b0634,https://www.ncbi.nlm.nih.gov/protein/NP_415167.1,
rpsB,https://www.ncbi.nlm.nih.gov/gene?term=947874,http://ecoliwiki.net/colipedia/index.php/b0169,https://www.ncbi.nlm.nih.gov/protein/NP_414711.1,
infA,https://www.ncbi.nlm.nih.gov/gene?term=945500,http://ecoliwiki.net/colipedia/index.php/b0884,https://www.ncbi.nlm.nih.gov/protein/NP_415404.1,
fldA,https://www.ncbi.nlm.nih.gov/gene?term=945293,http://ecoliwiki.net/colipedia/index.php/b0684,https://www.ncbi.nlm.nih.gov/protein/NP_415210.1,
fabZ,https://www.ncbi.nlm.nih.gov/gene?term=944888,http://ecoliwiki.net/colipedia/index.php/b0180,https://www.ncbi.nlm.nih.gov/protein/NP_414722.1,https://enzyme.expasy.org/EC/4.2.1.-
